iter	Passed	Remaining
155	774	4190
156	784	4210
157	788	4204
158	792	4192
159	795	4176
160	797	4156
161	800	4138
162	812	4169
163	815	4159
164	820	4151
165	841	4226
166	843	4208
167	857	4249
168	863	4245
169	866	4230
170	870	4220
171	874	4210
172	881	4212
173	885	4201
174	887	4185
175	893	4182
176	897	4174
177	904	4176
178	908	4169
179	912	4156
180	917	4151
181	921	4143
182	925	4129
183	937	4158
184	941	4148
185	943	4131
186	954	4147
187	956	4132
188	965	4144
189	969	4132
190	980	4151
191	982	4136
192	986	4126
193	994	4132
194	1006	4153
195	1010	4145
196	1013	4131
197	1016	4116
198	1020	4108
199	1025	4101
200	1027	4085
201	1031	4073
202	1033	4058
203	1040	4060
204	1043	4047
205	1053	4058
206	1056	4048
207	1061	4039
208	1090	4128
209	1098	4133
210	1104	4129
211	1107	4115
212	1110	4102
213	1115	4098
214	1120	4089
215	1123	4078
216	1129	4076
217	1132	4061
218	1134	4047
219	1138	4036
220	1146	4039
221	1157	4055
222	1160	4044
223	1164	4034
224	1168	4024
225	1171	4011
226	1173	3997
227	1177	3985
228	1179	3972
229	1183	3963
230	1187	3953
231	1192	3946
232	1195	3934
233	1203	3938
234	1208	3932
235	1213	3928
236	1220	3930
237	1228	3933
238	1235	3933
239	1241	3931
240	1253	3947
241	1265	3962
242	1268	3952
243	1272	3944
244	1276	3934
245	1280	3925
246	1284	3915
247	1287	3902
248	1290	3892
249	1293	3880
250	1295	3867
251	1298	3854
252	1300	3840
253	1308	3842
254	1314	3839
255	1318	3833
256	1322	3822
257	1327	3816
258	1331	3808
259	1334	3798
260	1337	3787
261	1340	3776
262	1343	3765
263	1346	3754
264	1349	3743
265	1353	3734
266	1357	3727
267	1364	3726
268	1369	3720
269	1372	3711
270	1376	3702
271	1380	3695
272	1389	3700
273	1393	3692
274	1397	3684
275	1400	3673
276	1403	3663
277	1406	3653
278	1410	3643
279	1414	3636
280	1417	3626
281	1421	3618
282	1425	3612
283	1428	3602
284	1431	3592
285	1435	3584
286	1442	3584
287	1448	3581
288	1457	3586
289	1463	3582
290	1467	3576
291	1470	3565
292	1473	3556
293	1477	3548
294	1481	3541
295	1484	3531
296	1489	3526
297	1493	3518
298	1497	3511
299	1500	3500
300	1503	3491
301	1506	3482
302	1510	3473
303	1514	3466
304	1518	3460
305	1522	3453
306	1526	3445
307	1530	3439
308	1534	3431
309	1538	3423
310	1541	3414
311	1545	3407
312	1549	3402
313	1555	3397
314	1558	3388
315	1560	3378
316	1563	3368
317	1567	3361
318	1570	3352
319	1573	3343
320	1576	3333
321	1581	3330
322	1587	3328
323	1591	3319
324	1595	3313
325	1598	3304
326	1601	3296
327	1604	3288
328	1607	3278
329	1611	3272
330	1616	3267
331	1633	3287
332	1637	3280
333	1644	3278
334	1647	3270
335	1649	3260
336	1651	3249
337	1654	3240
338	1672	3261
339	1676	3255
340	1685	3256
341	1687	3246
342	1694	3245
343	1700	3242
344	1708	3244
345	1712	3236
346	1718	3234
347	1723	3229
348	1734	3236
349	1749	3249
350	1758	3252
351	1763	3245
352	1766	3238
353	1769	3229
354	1776	3227
355	1787	3233
356	1801	3245
357	1811	3248
358	1814	3240
359	1836	3265
360	1845	3266
361	1849	3260
362	1852	3250
363	1855	3241
364	1858	3234
365	1862	3225
366	1865	3218
367	1869	3210
368	1872	3201
369	1877	3195
370	1882	3191
371	1886	3184
372	1890	3177
373	1894	3170
374	1899	3165
375	1903	3158
376	1906	3151
377	1910	3144
378	1914	3136
379	1917	3129
380	1925	3128
381	1930	3122
382	1933	3115
383	1938	3108
384	1945	3107
385	1948	3099
386	1952	3091
387	1955	3085
388	1959	3077
389	1962	3070
390	1966	3063
391	1970	3056
392	1974	3050
393	1979	3044
394	1983	3038
395	1987	3031
396	1990	3023
397	1995	3018
398	2004	3019
399	2009	3014
400	2013	3007
401	2017	3000
402	2019	2992
403	2024	2987
404	2028	2979
405	2033	2975
406	2036	2967
407	2040	2960
408	2045	2955
409	2051	2952
410	2055	2945
411	2058	2937
412	2061	2930
413	2064	2921
414	2067	2914
415	2072	2909
416	2075	2901
417	2079	2895
418	2081	2886
419	2086	2881
420	2091	2876
421	2098	2874
